"Numer","Wartość","Data (Data rozpoczęcia)","Termin zakończenia","Norma rbh do wykonania [h]"
"124/E/10/21","E03","2021-10-19","2021-10-20 10:02","0:54"
"125/E/10/21","E05","2021-10-19","2021-10-20 09:55","1:23"
"126/E/10/21","E05","2021-10-20","2021-10-20 09:48","1:28"
"127/E/10/21","E02","2021-10-19","2021-10-19 18:18","0:54"
"128/E/10/21","E05","2021-10-19","2021-10-20 09:27","4:38"
"129/E/10/21","E05","2021-10-19","2021-10-20 08:22","3:12"
"133/E/10/21","E05","2021-10-20","2021-10-20 11:05","1:00"
"134/E/10/21","E05","2021-10-15","2021-10-15 14:48","1:13"
"135/E/10/21","E06","2021-10-15","2021-10-15 14:41","1:12"
"136/E/10/21","E04","2021-10-15","2021-10-15 14:34","0:42"
"137/E/10/21","E04","2021-10-13","2021-10-14 07:30","4:38"
"138/E/10/21","E04","2021-10-13","2021-10-13 21:05","2:14"
"139/E/10/21","E09","2021-10-20","2021-10-20 10:58","2:31"
"140/E/10/21","E07","2021-10-20","2021-10-20 10:51","3:49"
"141/E/10/21","E02","2021-10-20","2021-10-20 10:44","0:41"
"142/E/10/21","E05","2021-10-20","2021-10-20 11:12","1:11"
"144/E/10/21","E08","2021-10-11","2021-10-11 16:17","4:46"
"145/E/10/21","E05","2021-10-14","2021-10-14 19:47","0:50"
"149/E/10/21","E08","2021-10-14","2021-10-14 19:54","1:15"
"150/E/10/21","E04","2021-10-15","2021-10-15 15:16","2:59"
"151/E/10/21","E02","2021-10-15","2021-10-15 15:09","0:40"
"152/E/10/21","E04","2021-10-15","2021-10-15 15:02","2:38"
"153/E/10/21","E04","2021-10-15","2021-10-15 14:55","1:40"
"154/E/10/21","E05","2021-10-20","2021-10-20 12:31","1:28"
"155/E/10/21","E02","2021-10-20","2021-10-20 12:24","2:13"
"156/E/10/21","E03","2021-10-20","2021-10-20 13:04","4:20"
"157/E/10/21","E03","2021-10-20","2021-10-20 12:57","1:14"
"158/E/10/21","E03","2021-10-20","2021-10-20 12:03","0:40"
"159/E/10/21","E02","2021-10-20","2021-10-20 11:56","0:49"
"160/E/10/21","E02","2021-10-20","2021-10-20 11:49","0:51"
"161/E/10/21","E03","2021-10-20","2021-10-20 11:42","1:00"
"162/E/10/21","E05","2021-10-20","2021-10-20 11:19","1:11"
"163/E/10/21","E07","2021-10-20","2021-10-20 13:18","4:15"
"164/E/10/21","E07","2021-10-20","2021-10-20 13:25","2:21"
"165/E/10/21","E06","2021-10-20","2021-10-20 13:11","2:21"
"166/E/10/21","E05","2021-10-20","2021-10-20 12:38","2:18"
"170/E/10/21","E02","2021-10-11","2021-10-11 16:24","1:00"
"172/E/10/21","E02","2021-10-11","2021-10-12 07:43","1:17"
"173/E/10/21","E02","2021-10-11","2021-10-12 07:36","1:17"
"176/E/10/21","E02","2021-10-11","2021-10-12 08:32","4:17"
"177/E/10/21","E02","2021-10-12","2021-10-12 09:21","1:14"
"179/E/10/21","E02","2021-10-12","2021-10-12 09:56","1:00"
"181/E/10/21","E02","2021-10-11","2021-10-12 10:59","3:40"
"182/E/10/21","E02","2021-10-11","2021-10-12 10:45","4:26"
"183/E/10/21","E02","2021-10-11","2021-10-12 10:52","1:45"
"189/E/10/21","E02","2021-10-12","2021-10-12 10:31","1:40"
"191/E/10/21","E02","2021-10-11","2021-10-11 17:20","0:56"
"192/E/10/21","E02","2021-10-11","2021-10-12 08:53","1:14"
"197/E/10/21","E02","2021-10-11","2021-10-11 16:45","1:18"
"198/E/10/21","E02","2021-10-11","2021-10-12 09:28","4:17"
"199/E/10/21","E02","2021-10-11","2021-10-12 09:00","2:15"
"200/E/10/21","E02","2021-10-11","2021-10-12 08:39","2:15"
"201/E/10/21","E02","2021-10-11","2021-10-12 08:25","1:20"
"202/E/10/21","E02","2021-10-11","2021-10-12 08:04","1:44"
"205/E/10/21","E02","2021-10-11","2021-10-11 17:06","1:00"
"206/E/10/21","E02","2021-10-11","2021-10-12 08:46","2:15"
"209/E/10/21","E02","2021-10-11","2021-10-12 08:11","2:24"
"211/E/10/21","E02","2021-10-11","2021-10-11 17:27","1:18"
"212/E/10/21","E02","2021-10-11","2021-10-11 17:13","0:56"
"213/E/10/21","E02","2021-10-11","2021-10-11 16:59","1:00"
"222/E/10/21","E02","2021-10-11","2021-10-12 09:42","1:00"
"224/E/10/21","E02","2021-10-11","2021-10-12 10:03","4:37"
"231/E/10/21","E02","2021-10-12","2021-10-12 09:35","1:20"
"232/E/10/21","E02","2021-10-11","2021-10-11 17:48","1:47"
"233/E/10/21","E02","2021-10-11","2021-10-12 10:10","0:56"
"234/E/10/21","E02","2021-10-11","2021-10-12 09:07","1:14"
"235/E/10/21","E02","2021-10-11","2021-10-11 16:52","1:18"
"236/E/10/21","E02","2021-10-11","2021-10-11 17:41","1:00"
"238/E/10/21","E02","2021-10-11","2021-10-11 16:31","1:00"
"240/E/10/21","E02","2021-10-11","2021-10-12 09:14","1:14"
"242/E/10/21","E02","2021-10-11","2021-10-12 07:57","1:17"
"243/E/10/21","E02","2021-10-11","2021-10-12 07:50","1:17"
"245/E/10/21","E02","2021-10-11","2021-10-12 10:38","0:36"
"247/E/10/21","E02","2021-10-11","2021-10-12 09:49","1:47"
"248/E/10/21","E02","2021-10-11","2021-10-11 16:38","1:00"
"249/E/10/21","E02","2021-10-11","2021-10-12 10:24","1:40"
"250/E/10/21","E02","2021-10-12","2021-10-12 08:18","0:56"
"251/E/10/21","E02","2021-10-11","2021-10-12 10:17","0:56"
"256/E/10/21","E02","2021-10-11","2021-10-11 18:02","0:58"
"258/E/10/21","E06","2021-10-20","2021-10-20 14:28","1:58"
"259/E/10/21","E08","2021-10-20","2021-10-20 12:17","2:06"
"260/E/10/21","E05","2021-10-20","2021-10-20 12:10","1:37"
"261/E/10/21","E02","2021-10-20","2021-10-20 16:34","0:35"
"262/E/10/21","E05","2021-10-20","2021-10-20 14:49","0:59"
"263/E/10/21","E05","2021-10-20","2021-10-20 14:42","1:19"
"264/E/10/21","E05","2021-10-20","2021-10-20 14:35","0:42"
"266/E/10/21","E05","2021-10-20","2021-10-21 10:50","4:15"
"267/E/10/21","E05","2021-10-21","2021-10-21 10:57","1:59"
"268/E/10/21","E08","2021-10-15","2021-10-15 18:04","2:20"
"269/E/10/21","E02","2021-10-11","2021-10-12 06:35","0:41"
"270/E/10/21","E08","2021-10-11","2021-10-12 13:09","4:46"
"275/E/10/21","E08","2021-10-20","2021-10-20 12:50","5:27"
"277/E/10/21","E04","2021-10-20","2021-10-20 16:55","0:33"
"278/E/10/21","E05","2021-10-20","2021-10-21 06:56","2:05"
"279/E/10/21","E05","2021-10-20","2021-10-20 16:48","0:56"
"280/E/10/21","E05","2021-10-20","2021-10-21 07:22","1:13"
"281/E/10/21","E06","2021-10-20","2021-10-21 07:03","0:55"
"282/E/10/21","E05","2021-10-21","2021-10-21 10:32","4:26"
"283/E/10/21","E05","2021-10-20","2021-10-21 10:39","3:03"
"284/E/10/21","E05","2021-10-20","2021-10-21 10:25","3:09"
"285/E/10/21","E05","2021-10-20","2021-10-21 10:18","3:09"
"286/E/10/21","E05","2021-10-20","2021-10-21 10:11","4:31"
"287/E/10/21","E05","2021-10-20","2021-10-21 07:44","2:23"
"288/E/10/21","E06","2021-10-21","2021-10-21 09:57","3:48"
"289/E/10/21","E06","2021-10-20","2021-10-21 10:04","3:48"
"290/E/10/21","E06","2021-10-20","2021-10-21 09:50","3:48"
"291/E/10/21","E06","2021-10-20","2021-10-21 09:03","3:48"
"292/E/10/21","E05","2021-10-20","2021-10-20 17:16","0:49"
"293/E/10/21","E03","2021-10-20","2021-10-21 07:15","2:28"
"294/E/10/21","E02","2021-10-20","2021-10-20 17:09","1:21"
"295/E/10/21","E07","2021-10-20","2021-10-20 13:32","4:06"
"296/E/10/21","E07","2021-10-20","2021-10-20 13:46","4:06"
"297/E/10/21","E07","2021-10-20","2021-10-20 13:53","4:06"
"298/E/10/21","E07","2021-10-20","2021-10-20 13:39","4:06"
"299/E/10/21","E07","2021-10-20","2021-10-20 14:00","4:06"
"300/E/10/21","E03","2021-10-20","2021-10-21 11:04","0:52"
"301/E/10/21","E02","2021-10-20","2021-10-21 11:11","0:48"
"302/E/10/21","E08","2021-10-20","2021-10-20 14:07","5:11"
"303/E/10/21","E05","2021-10-21","2021-10-21 12:14","0:42"
"304/E/10/21","E04","2021-10-21","2021-10-21 12:07","0:38"
"305/E/10/21","E05","2021-10-21","2021-10-21 11:53","2:07"
"306/E/10/21","E05","2021-10-21","2021-10-21 11:46","2:15"
"307/E/10/21","E05","2021-10-21","2021-10-21 11:39","2:27"
"308/E/10/21","E02","2021-10-21","2021-10-21 11:32","1:48"
"309/E/10/21","E02","2021-10-21","2021-10-21 11:25","1:33"
"310/E/10/21","E06","2021-10-21","2021-10-21 11:18","1:12"
"311/E/10/21","E03","2021-10-21","2021-10-21 12:21","4:20"
"312/E/10/21","E03","2021-10-21","2021-10-21 12:28","4:20"
"313/E/10/21","E03","2021-10-21","2021-10-21 12:35","2:16"
"314/E/10/21","E04","2021-10-15","2021-10-15 18:25","0:55"
"315/E/10/21","E04","2021-10-15","2021-10-15 18:18","1:43"
"316/E/10/21","E02","2021-10-15","2021-10-15 18:11","0:40"
"317/E/10/21","E02","2021-10-14","2021-10-14 20:15","0:44"
"318/E/10/21","E02","2021-10-14","2021-10-14 20:08","1:00"
"319/E/10/21","E04","2021-10-14","2021-10-14 20:01","2:38"
"325/E/10/21","E02","2021-10-12","2021-10-12 14:19","2:22"
"328/E/10/21","E02","2021-10-12","2021-10-12 14:12","0:56"
"337/E/10/21","E05","2021-10-21","2021-10-21 12:49","0:54"
"338/E/10/21","E09","2021-10-20","2021-10-21 09:43","7:22"
"339/E/10/21","E05","2021-10-20","2021-10-20 16:41","1:37"
"340/E/10/21","E07","2021-10-18","2021-10-18 09:25","6:35"
"341/E/10/21","E05","2021-10-21","2021-10-21 13:52","4:41"
"342/E/10/21","E05","2021-10-21","2021-10-21 13:45","4:41"
"343/E/10/21","E05","2021-10-21","2021-10-21 13:38","4:41"
"344/E/10/21","E05","2021-10-21","2021-10-21 13:31","4:41"
"345/E/10/21","E05","2021-10-21","2021-10-21 12:00","1:02"
"346/E/10/21","E05","2021-10-20","2021-10-20 17:02","1:31"
"347/E/10/21","E02","2021-10-20","2021-10-20 14:56","0:40"
"348/E/10/21","E02","2021-10-12","2021-10-12 18:24","0:59"
"350/E/10/21","E02","2021-10-12","2021-10-12 18:17","1:18"
"351/E/10/21","E08","2021-10-12","2021-10-13 06:49","4:46"
"352/E/10/21","E02","2021-10-12","2021-10-12 18:10","0:58"
"353/E/10/21","E02","2021-10-12","2021-10-13 08:59","0:36"
"355/E/10/21","E02","2021-10-12","2021-10-13 10:14","2:15"
"356/E/10/21","E02","2021-10-12","2021-10-13 07:23","4:17"
"357/E/10/21","E02","2021-10-12","2021-10-13 07:00","4:17"
"358/E/10/21","E02","2021-10-12","2021-10-13 07:07","4:17"
"359/E/10/21","E02","2021-10-12","2021-10-13 10:07","1:14"
"360/E/10/21","E02","2021-10-12","2021-10-13 08:31","1:40"
"361/E/10/21","E02","2021-10-12","2021-10-13 08:03","0:56"
"362/E/10/21","E02","2021-10-12","2021-10-13 07:56","0:56"
"363/E/10/21","E02","2021-10-12","2021-10-13 07:30","1:45"
"364/E/10/21","E02","2021-10-12","2021-10-12 18:38","1:47"
"365/E/10/21","E02","2021-10-12","2021-10-13 11:52","0:56"
"366/E/10/21","E02","2021-10-12","2021-10-13 09:06","0:59"
"367/E/10/21","E02","2021-10-12","2021-10-12 18:31","0:56"
"368/E/10/21","E02","2021-10-12","2021-10-13 08:10","0:56"
"369/E/10/21","E02","2021-10-12","2021-10-13 09:41","3:29"
"370/E/10/21","E02","2021-10-12","2021-10-13 11:17","0:56"
"371/E/10/21","E04","2021-10-19","2021-10-19 10:46","2:02"
"372/E/10/21","E03","2021-10-19","2021-10-19 10:44","2:32"
"373/E/10/21","E06","2021-10-21","2021-10-21 14:20","4:33"
"374/E/10/21","E06","2021-10-21","2021-10-21 14:13","4:33"
"375/E/10/21","E06","2021-10-21","2021-10-21 14:27","4:33"
"376/E/10/21","E06","2021-10-21","2021-10-21 14:34","4:33"
"377/E/10/21","E04","2021-10-21","2021-10-21 13:59","2:38"
"378/E/10/21","E04","2021-10-21","2021-10-21 14:06","2:09"
"380/E/10/21","E05","2021-10-21","2021-10-21 14:48","0:47"
"381/E/10/21","E06","2021-10-20","2021-10-20 14:21","2:03"
"382/E/10/21","E04","2021-10-15","2021-10-15 15:23","4:38"
"383/E/10/21","E04","2021-10-15","2021-10-15 15:30","2:14"
"384/E/10/21","E02","2021-10-12","2021-10-13 12:34","0:56"
"385/E/10/21","E02","2021-10-12","2021-10-13 13:16","1:15"
"386/E/10/21","E02","2021-10-12","2021-10-13 12:55","3:05"
"387/E/10/21","E02","2021-10-12","2021-10-13 12:27","0:56"
"388/E/10/21","E02","2021-10-12","2021-10-13 09:48","1:03"
"389/E/10/21","E08","2021-10-21","2021-10-21 15:58","2:36"
"390/E/10/21","E08","2021-10-21","2021-10-21 15:51","3:23"
"391/E/10/21","E08","2021-10-21","2021-10-21 15:37","4:37"
"392/E/10/21","E08","2021-10-21","2021-10-21 15:44","2:37"
"393/E/10/21","E08","2021-10-21","2021-10-21 15:09","4:49"
"394/E/10/21","E08","2021-10-21","2021-10-21 15:30","4:49"
"395/E/10/21","E08","2021-10-21","2021-10-21 14:55","4:49"
"396/E/10/21","E08","2021-10-21","2021-10-21 15:16","4:49"
"397/E/10/21","E08","2021-10-21","2021-10-21 15:23","4:49"
"398/E/10/21","E08","2021-10-21","2021-10-21 15:02","3:23"
"399/E/10/21","E04","2021-10-21","2021-10-21 16:19","1:09"
"400/E/10/21","E04","2021-10-21","2021-10-21 16:12","2:19"
"401/E/10/21","E04","2021-10-21","2021-10-21 16:05","1:40"
"402/E/10/21","E05","2021-10-21","2021-10-21 17:22","0:27"
"403/E/10/21","E05","2021-10-21","2021-10-21 17:15","1:33"
"404/E/10/21","E05","2021-10-21","2021-10-21 17:08","1:49"
"405/E/10/21","E05","2021-10-21","2021-10-21 17:01","1:25"
"406/E/10/21","E05","2021-10-21","2021-10-21 16:47","0:39"
"407/E/10/21","E05","2021-10-21","2021-10-21 16:40","2:03"
"408/E/10/21","E06","2021-10-21","2021-10-21 16:33","1:13"
"409/E/10/21","E05","2021-10-21","2021-10-21 16:26","2:32"
"410/E/10/21","E04","2021-10-20","2021-10-20 15:10","4:40"
"411/E/10/21","E04","2021-10-20","2021-10-20 15:03","1:25"
"412/E/10/21","E08","2021-10-20","2021-10-20 14:14","3:37"
"413/E/10/21","E05","2021-10-21","2021-10-21 17:36","1:28"
"414/E/10/21","E05","2021-10-21","2021-10-21 17:29","0:52"
"415/E/10/21","E09","2021-10-21","2021-10-21 14:41","6:57"
"416/E/10/21","E09","2021-10-21","2021-10-22 08:07","4:45"
"417/E/10/21","E05","2021-10-21","2021-10-22 08:55","4:14"
"418/E/10/21","E05","2021-10-21","2021-10-22 08:25","4:22"
"419/E/10/21","E05","2021-10-21","2021-10-22 08:48","4:22"
"420/E/10/21","E05","2021-10-21","2021-10-22 08:41","4:22"
"421/E/10/21","E05","2021-10-21","2021-10-22 08:34","4:22"
"422/E/10/21","E05","2021-10-21","2021-10-22 06:21","2:22"
"423/E/10/21","E05","2021-10-21","2021-10-21 17:57","1:05"
"424/E/10/21","E05","2021-10-21","2021-10-21 17:50","1:08"
"425/E/10/21","E05","2021-10-21","2021-10-22 07:23","3:42"
"426/E/10/21","E05","2021-10-21","2021-10-22 07:45","3:42"
"427/E/10/21","E05","2021-10-21","2021-10-22 07:07","3:42"
"428/E/10/21","E05","2021-10-21","2021-10-22 07:38","4:44"
"429/E/10/21","E05","2021-10-21","2021-10-21 17:43","2:32"
"430/E/10/21","E03","2021-10-21","2021-10-22 06:10","0:43"
"431/E/10/21","E02","2021-10-21","2021-10-22 06:38","1:10"
"432/E/10/21","E07","2021-10-22","2021-10-22 10:16","6:27"
"433/E/10/21","E03","2021-10-21","2021-10-22 10:09","4:46"
"434/E/10/21","E03","2021-10-21","2021-10-22 10:02","0:55"
"435/E/10/21","E07","2021-10-21","2021-10-22 08:14","3:57"
"436/E/10/21","E07","2021-10-21","2021-10-22 07:52","3:57"
"437/E/10/21","E07","2021-10-21","2021-10-22 09:23","3:57"
"438/E/10/21","E07","2021-10-21","2021-10-22 09:09","3:57"
"439/E/10/21","E07","2021-10-21","2021-10-22 09:30","3:57"
"440/E/10/21","E07","2021-10-21","2021-10-22 09:02","3:57"
"441/E/10/21","E07","2021-10-21","2021-10-22 09:16","3:57"
"442/E/10/21","E07","2021-10-21","2021-10-22 09:37","3:57"
"443/E/10/21","E07","2021-10-21","2021-10-22 07:59","3:57"
"444/E/10/21","E07","2021-10-21","2021-10-22 07:14","2:48"
"445/E/10/21","E08","2021-10-21","2021-10-21 13:10","3:31"
"446/E/10/21","E03","2021-10-21","2021-10-21 12:56","4:20"
"447/E/10/21","E03","2021-10-21","2021-10-21 13:03","0:44"
"448/E/10/21","E04","2021-10-20","2021-10-21 06:49","4:38"
"449/E/10/21","E04","2021-10-20","2021-10-20 16:27","1:50"
"450/E/10/21","E02","2021-10-20","2021-10-21 09:21","4:33"
"451/E/10/21","E02","2021-10-20","2021-10-21 09:14","1:21"
"452/E/10/21","E02","2021-10-20","2021-10-21 08:14","4:05"
"453/E/10/21","E02","2021-10-20","2021-10-21 06:42","2:49"
"454/E/10/21","E04","2021-10-20","2021-10-21 08:07","4:17"
"455/E/10/21","E04","2021-10-20","2021-10-21 09:29","4:17"
"456/E/10/21","E04","2021-10-20","2021-10-21 09:36","2:57"
"457/E/10/21","E05","2021-10-20","2021-10-21 07:53","2:30"
"458/E/10/21","E05","2021-10-20","2021-10-21 08:00","2:30"
"459/E/10/21","E05","2021-10-20","2021-10-21 06:27","2:30"
"460/E/10/21","E05","2021-10-20","2021-10-21 06:34","2:30"
"461/E/10/21","E05","2021-10-20","2021-10-21 08:42","2:30"
"462/E/10/21","E05","2021-10-20","2021-10-21 08:49","2:30"
"463/E/10/21","E05","2021-10-20","2021-10-21 08:35","2:30"
"464/E/10/21","E05","2021-10-20","2021-10-21 08:28","2:30"
"465/E/10/21","E02","2021-10-20","2021-10-20 16:20","3:22"
"467/E/10/21","E02","2021-10-13","2021-10-13 16:25","1:14"
"468/E/10/21","E02","2021-10-13","2021-10-13 16:18","1:00"
"469/E/10/21","E02","2021-10-13","2021-10-13 14:47","0:36"
"470/E/10/21","E02","2021-10-13","2021-10-13 14:19","0:54"
"471/E/10/21","E02","2021-10-13","2021-10-13 13:09","1:03"
"472/E/10/21","E02","2021-10-13","2021-10-13 09:27","1:09"
"473/E/10/21","E02","2021-10-13","2021-10-13 16:11","2:50"
"474/E/10/21","E02","2021-10-12","2021-10-13 09:55","2:43"
"475/E/10/21","E02","2021-10-13","2021-10-13 12:48","1:39"
"476/E/10/21","E02","2021-10-12","2021-10-13 07:37","1:46"
"477/E/10/21","E02","2021-10-13","2021-10-13 16:04","1:03"
"479/E/10/21","E02","2021-10-12","2021-10-13 13:23","1:23"
"480/E/10/21","E02","2021-10-12","2021-10-13 09:20","0:41"
"481/E/10/21","E02","2021-10-12","2021-10-13 15:43","0:45"
"482/E/10/21","E02","2021-10-13","2021-10-13 14:12","1:01"
"483/E/10/21","E02","2021-10-12","2021-10-13 15:36","3:25"
"484/E/10/21","E02","2021-10-13","2021-10-13 13:02","1:03"
"485/E/10/21","E02","2021-10-12","2021-10-13 07:14","1:08"
"486/E/10/21","E02","2021-10-12","2021-10-13 15:29","4:23"
"487/E/10/21","E02","2021-10-13","2021-10-13 12:41","1:53"
"488/E/10/21","E02","2021-10-12","2021-10-12 18:45","0:58"
"489/E/10/21","E02","2021-10-12","2021-10-13 14:05","1:01"
"490/E/10/21","E02","2021-10-20","2021-10-20 16:13","3:27"
"491/E/10/21","E08","2021-10-20","2021-10-20 15:31","3:56"
"492/E/10/21","E08","2021-10-20","2021-10-20 15:59","3:56"
"493/E/10/21","E08","2021-10-20","2021-10-20 15:17","3:56"
"494/E/10/21","E08","2021-10-20","2021-10-20 15:45","3:56"
"495/E/10/21","E08","2021-10-20","2021-10-20 16:06","3:56"
"496/E/10/21","E08","2021-10-20","2021-10-20 15:38","3:56"
"497/E/10/21","E08","2021-10-20","2021-10-20 15:52","3:56"
"498/E/10/21","E08","2021-10-20","2021-10-20 15:24","3:56"
"499/E/10/21","E02","2021-10-12","2021-10-13 13:51","1:01"
"501/E/10/21","E02","2021-10-12","2021-10-13 14:40","0:41"
"502/E/10/21","E02","2021-10-12","2021-10-13 14:33","0:36"
"503/E/10/21","E02","2021-10-12","2021-10-13 14:26","3:06"
"504/E/10/21","E02","2021-10-12","2021-10-13 13:58","0:54"
"505/E/10/21","E02","2021-10-12","2021-10-13 13:44","1:01"
"506/E/10/21","E08","2021-10-12","2021-10-13 07:44","5:02"
"507/E/10/21","E02","2021-10-12","2021-10-13 09:13","0:41"
"508/E/10/21","E02","2021-10-12","2021-10-13 13:37","1:19"
"509/E/10/21","E02","2021-10-12","2021-10-13 13:30","1:19"
"510/E/10/21","E09","2021-10-21","2021-10-22 10:37","4:40"
"511/E/10/21","E08","2021-10-21","2021-10-22 10:23","2:05"
"512/E/10/21","E05","2021-10-22","2021-10-22 09:51","1:04"
"513/E/10/21","E05","2021-10-21","2021-10-22 09:44","1:51"
"515/E/10/21","E08","2021-10-15","2021-10-15 18:32","1:15"
"516/E/10/21","E04","2021-10-15","2021-10-18 08:38","4:38"
"517/E/10/21","E04","2021-10-15","2021-10-18 08:01","3:50"
"518/E/10/21","E02","2021-10-15","2021-10-15 15:37","0:44"
"519/E/10/21","E02","2021-10-12","2021-10-13 08:17","0:56"
"520/E/10/21","E02","2021-10-13","2021-10-13 15:01","0:36"
"521/E/10/21","E02","2021-10-13","2021-10-13 09:34","0:36"
"522/E/10/21","E02","2021-10-13","2021-10-13 14:54","0:36"
"524/E/10/21","E07","2021-10-14","2021-10-15 10:08","2:21"
"525/E/10/21","E07","2021-10-15","2021-10-15 10:01","3:30"
"526/E/10/21","E07","2021-10-14","2021-10-15 09:54","3:32"
"527/E/10/21","E07","2021-10-14","2021-10-15 09:40","3:32"
"528/E/10/21","E07","2021-10-14","2021-10-15 09:19","3:32"
"529/E/10/21","E07","2021-10-14","2021-10-15 09:26","3:32"
"530/E/10/21","E07","2021-10-14","2021-10-15 09:33","3:32"
"531/E/10/21","E07","2021-10-14","2021-10-15 07:10","3:32"
"532/E/10/21","E07","2021-10-14","2021-10-15 06:49","3:32"
"533/E/10/21","E07","2021-10-14","2021-10-15 06:42","3:32"
"534/E/10/21","E07","2021-10-14","2021-10-15 06:35","3:32"
"535/E/10/21","E07","2021-10-14","2021-10-14 20:22","3:32"
"536/E/10/21","E07","2021-10-14","2021-10-15 07:03","3:32"
"537/E/10/21","E07","2021-10-14","2021-10-15 06:56","3:32"
"538/E/10/21","E07","2021-10-14","2021-10-14 20:29","3:32"
"539/E/10/21","E07","2021-10-14","2021-10-15 09:12","3:32"
"540/E/10/21","E07","2021-10-14","2021-10-15 09:47","3:32"
"541/E/10/21","E02","2021-10-13","2021-10-13 10:21","1:14"
"542/E/10/21","E02","2021-10-13","2021-10-13 12:13","0:56"
"543/E/10/21","E02","2021-10-12","2021-10-13 11:31","0:56"
"544/E/10/21","E02","2021-10-12","2021-10-13 08:45","1:40"
"545/E/10/21","E02","2021-10-12","2021-10-13 12:06","0:56"
"546/E/10/21","E02","2021-10-12","2021-10-13 08:38","0:56"
"547/E/10/21","E02","2021-10-12","2021-10-13 11:24","0:56"
"548/E/10/21","E02","2021-10-12","2021-10-13 11:59","0:56"
"549/E/10/21","E02","2021-10-13","2021-10-13 15:08","0:36"
"550/E/10/21","E02","2021-10-13","2021-10-13 16:39","0:45"
"551/E/10/21","E02","2021-10-13","2021-10-13 15:57","1:17"
"552/E/10/21","E02","2021-10-13","2021-10-13 15:50","1:17"
"553/E/10/21","E02","2021-10-13","2021-10-13 11:45","0:56"
"554/E/10/21","E08","2021-10-13","2021-10-13 16:32","4:46"
"555/E/10/21","E02","2021-10-13","2021-10-13 08:52","0:56"
"556/E/10/21","E02","2021-10-13","2021-10-13 15:22","0:36"
"557/E/10/21","E02","2021-10-13","2021-10-13 10:28","1:14"
"558/E/10/21","E02","2021-10-13","2021-10-13 12:20","0:56"
"559/E/10/21","E02","2021-10-13","2021-10-13 15:15","0:36"
"562/E/10/21","E02","2021-10-13","2021-10-13 08:24","0:56"
"563/E/10/21","E02","2021-10-13","2021-10-13 11:38","0:56"
"564/E/10/21","E08","2021-10-21","2021-10-22 07:31","4:23"
"565/E/10/21","E05","2021-10-11","2021-10-11 08:05","0:56"
"566/E/10/21","E06","2021-10-21","2021-10-21 12:42","1:52"
"567/E/10/21","E07","2021-10-20","2021-10-21 08:21","7:38"
"568/E/10/21","E05","2021-10-22","2021-10-22 11:05","3:49"
"569/E/10/21","E08","2021-10-21","2021-10-22 07:00","4:47"
"570/E/10/21","E05","2021-10-21","2021-10-21 16:54","0:27"
"571/E/10/21","E05","2021-10-22","2021-10-22 10:58","1:31"
"572/E/10/21","E05","2021-10-22","2021-10-22 10:51","1:31"
"573/E/10/21","E05","2021-10-22","2021-10-22 10:44","1:15"
"574/E/10/21","E06","2021-10-22","2021-10-22 10:30","4:13"
"575/E/10/21","E07","2021-10-22","2021-10-22 11:19","4:04"
"576/E/10/21","E07","2021-10-22","2021-10-22 11:12","2:16"
"577/E/10/21","E05","2021-10-22","2021-10-22 12:15","1:11"
"578/E/10/21","E03","2021-10-22","2021-10-22 12:08","4:54"
"579/E/10/21","E03","2021-10-22","2021-10-22 12:01","3:41"
"584/E/10/21","E07","2021-10-22","2021-10-22 11:33","4:25"
"585/E/10/21","E05","2021-10-22","2021-10-22 11:26","1:00"
"586/E/10/21","E02","2021-10-13","2021-10-13 16:46","1:37"
"587/E/10/21","E07","2021-10-20","2021-10-21 08:56","5:05"
"588/E/10/21","E06","2021-10-21","2021-10-21 13:17","4:15"
"589/E/10/21","E06","2021-10-21","2021-10-21 13:24","2:59"
"590/E/10/21","E08","2021-10-15","2021-10-15 18:39","1:42"
"591/E/10/21","E08","2021-10-20","2021-10-21 07:33","7:42"
"592/E/10/21","E05","2021-10-22","2021-10-22 13:18","1:11"
"593/E/10/21","E04","2021-10-22","2021-10-22 13:11","2:38"
"594/E/10/21","E04","2021-10-22","2021-10-22 13:04","1:40"
"595/E/10/21","E04","2021-10-22","2021-10-22 12:50","4:25"
"596/E/10/21","E04","2021-10-22","2021-10-22 12:57","3:01"
"597/E/10/21","E04","2021-10-22","2021-10-22 12:36","4:23"
"598/E/10/21","E04","2021-10-22","2021-10-22 12:43","2:43"
"599/E/10/21","E02","2021-10-22","2021-10-22 12:29","1:06"
"600/E/10/21","E02","2021-10-22","2021-10-22 12:22","1:00"
"601/E/10/21","E05","2021-10-22","2021-10-22 14:21","4:46"
"602/E/10/21","E05","2021-10-22","2021-10-25 07:13","4:46"
"603/E/10/21","E05","2021-10-22","2021-10-25 07:06","0:58"
"604/E/10/21","E05","2021-10-22","2021-10-22 13:53","4:32"
"605/E/10/21","E05","2021-10-22","2021-10-22 14:14","4:32"
"606/E/10/21","E05","2021-10-22","2021-10-22 14:07","4:32"
"607/E/10/21","E05","2021-10-22","2021-10-22 14:00","1:05"
"608/E/10/21","E05","2021-10-22","2021-10-22 13:46","4:10"
"609/E/10/21","E05","2021-10-22","2021-10-22 13:39","4:34"
"610/E/10/21","E05","2021-10-22","2021-10-22 13:32","1:25"
"611/E/10/21","E06","2021-10-22","2021-10-22 13:25","3:04"
