"Numer","Wartość","Data (Data rozpoczęcia)","Termin zakończenia","Norma rbh do wykonania [h]"
"2197/E/09/21","E05","2021-10-15","2021-10-15 11:32","2:20"
"2199/E/09/21","E05","2021-10-15","2021-10-15 12:56","2:04"
"2200/E/09/21","E07","2021-10-15","2021-10-15 12:14","3:36"
"2201/E/09/21","E09","2021-10-15","2021-10-15 10:50","5:22"
"2202/E/09/21","E07","2021-10-15","2021-10-15 13:10","2:54"
"2203/E/09/21","E05","2021-10-15","2021-10-15 13:03","2:15"
"2204/E/09/21","E07","2021-10-13","2021-10-14 06:55","5:16"
"2205/E/09/21","E06","2021-10-13","2021-10-13 20:02","2:53"
"2225/E/09/21","E02","2021-10-11","2021-10-11 07:34","1:00"
"2229/E/09/21","E05","2021-10-15","2021-10-15 13:24","2:37"
"2230/E/09/21","E07","2021-10-15","2021-10-15 13:17","4:04"
"2231/E/09/21","E05","2021-10-15","2021-10-15 12:49","1:08"
"2232/E/09/21","E05","2021-10-15","2021-10-15 12:42","1:08"
"2233/E/09/21","E05","2021-10-15","2021-10-15 12:35","1:13"
"2234/E/09/21","E04","2021-10-15","2021-10-15 12:21","0:34"
"2235/E/09/21","E02","2021-10-13","2021-10-13 19:55","1:48"
"2239/E/09/21","E05","2021-10-15","2021-10-15 13:52","1:13"
"2241/E/09/21","E08","2021-10-11","2021-10-11 15:42","4:00"
"2242/E/09/21","E08","2021-10-11","2021-10-11 15:49","1:15"
"2246/E/09/21","E02","2021-10-15","2021-10-15 13:59","0:53"
"2247/E/09/21","E02","2021-10-14","2021-10-15 10:15","1:01"
"2253/E/09/21","E02","2021-10-14","2021-10-15 10:43","1:33"
"2254/E/09/21","E04","2021-10-14","2021-10-15 10:22","1:37"
"2256/E/09/21","E05","2021-10-15","2021-10-18 07:04","4:11"
"2257/E/09/21","E05","2021-10-15","2021-10-18 06:57","1:59"
"2258/E/09/21","E06","2021-10-15","2021-10-15 12:28","3:33"
"2259/E/09/21","E05","2021-10-13","2021-10-13 17:07","0:56"
"2260/E/09/21","E05","2021-10-11","2021-10-11 18:44","0:27"
"2264/E/09/21","E09","2021-10-14","2021-10-14 19:26","4:40"
"2265/E/09/21","E09","2021-10-14","2021-10-14 19:19","4:45"
"2267/E/09/21","E06","2021-10-15","2021-10-15 14:06","2:57"
